2025-09-28 13:40:19,567 - INFO - 1
2025-09-28 13:40:25,545 - INFO - 37.666667
2025-09-28 13:40:27,196 - INFO - 34
2025-09-28 13:40:28,384 - INFO - 67
2025-09-28 13:40:29,973 - INFO - 12
2025-09-28 13:40:31,149 - INFO - 55
2025-09-28 13:40:32,274 - INFO - 510.888889
2025-09-28 13:40:40,078 - INFO - Полученная строка уравнений: x+y=7
2025-09-28 13:40:40,078 - INFO - Разбито на уравнения: ['x+y=7']
2025-09-28 13:40:40,078 - INFO - Преобразование уравнения: x+y=7
2025-09-28 13:40:40,235 - INFO - Добавлено уравнение: Eq(x + y, 7)
2025-09-28 13:40:40,235 - INFO - Переменные, задействованные в уравнениях: {y, x}
2025-09-28 13:40:40,235 - INFO - Количество уравнений меньше количества переменных, система недоопределена.
2025-09-28 13:40:41,262 - INFO - Выбор пользователя: да, строить график.
2025-09-28 13:40:47,394 - DEBUG - Loaded backend qtagg version 6.9.1.
2025-09-28 13:40:47,716 - DEBUG - findfont: score(FontEntry(fname='E:\\RasCalculator_SHIY\\.venv1\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-09-28 13:40:47,716 - DEBUG - findfont: score(FontEntry(fname='E:\\RasCalculator_SHIY\\.venv1\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFiveSymReg.ttf', name='STIXSizeFiveSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,716 - DEBUG - findfont: score(FontEntry(fname='E:\\RasCalculator_SHIY\\.venv1\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2025-09-28 13:40:47,716 - DEBUG - findfont: score(FontEntry(fname='E:\\RasCalculator_SHIY\\.venv1\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,716 - DEBUG - findfont: score(FontEntry(fname='E:\\RasCalculator_SHIY\\.venv1\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-BoldOblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 1.335
2025-09-28 13:40:47,717 - DEBUG - findfont: score(FontEntry(fname='E:\\RasCalculator_SHIY\\.venv1\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-09-28 13:40:47,717 - DEBUG - findfont: score(FontEntry(fname='E:\\RasCalculator_SHIY\\.venv1\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-09-28 13:40:47,717 - DEBUG - findfont: score(FontEntry(fname='E:\\RasCalculator_SHIY\\.venv1\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-09-28 13:40:47,717 - DEBUG - findfont: score(FontEntry(fname='E:\\RasCalculator_SHIY\\.venv1\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmmi10.ttf', name='cmmi10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-09-28 13:40:47,717 - DEBUG - findfont: score(FontEntry(fname='E:\\RasCalculator_SHIY\\.venv1\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
